word,modularity_class
no_doubt,4
totally_different,0
objectively_correct,2
must_be,3
never_met,5
quite_clearly,1
arent_necessarily,3
completely_agree,0
any_bearing,2
entirely_convinced,4
certain_kinds,3
overall_happiness,4
mere_fact,2
complete_picture,4
entirely_separate,1
factually_wrong,2
completed,3
answering_questions,2
certain_behaviors,3
indirectly,0
cannot_prove,2
a_lot,5
will_always,0
am_confused,1
wondered,5
hesitate,3
always_felt,5
doubting,2
depends_on,3
any_given,4
perfectly_fine,0
hardly,1
totally_cool,5
perfectly_fair,0
depends,3
wouldnt_necessarily,3
nearly_every,5
completely_disagree,0
desperately_trying,1
based_purely,2
positive,4
truth,2
ever_since,5
probable,4
nothing_inherently,0
isnt_perfect,0
almost_none,5
depend_on,3
mainly_because,5
fundamentally_different,1
doing_nothing,0
as_possible,4
designed_specifically,0
fundamental_aspect,1
safe_bet,4
please_correct,1
distinctly,1
accomplishes_nothing,0
strictly_necessary,3
complete_disregard,0
pretty_weak,0
namely,3
explicitly_said,1
objective_facts,2
definitively,2
completely_ridiculous,0
seem,1
most_likely,4
pretty_rare,4
any_evidence,2
perfectly_okay,0
trying,5
any_attempt,2
accurately_reflect,1
certain_extent,3
complete,0
nowhere_close,4
contingent_on,3
randomly,4
never_intended,0
hypotheses,2
nowhere_did,0
greater_chance,4
totally_reasonable,1
nowhere,0
someday,5
variable,2
assumed,2
holds_true,3
high_probability,4
approximately_million,1
guess,5
maybe,5
fairly_easily,4
corrected,2
necessary_component,3
fairly_recent,1
absolutely_necessary,3
perfect_knowledge,0
altogether,4
pretty_clearly,1
directly_related,0
quite_obvious,1
often_overlooked,4
hopes,4
an_indirect,0
randomness,4
almost_guaranteed,4
ever_met,5
everytime,5
sincerely_doubt,4
completely_normal,0
better_option,4
poorly_defined,1
entirely_irrelevant,0
proven_otherwise,2
frankly,0
blatantly_false,2
assume,2
essential,3
specifically_mentioned,0
can_guarantee,4
assuming,2
directly_tied,0
always_existed,0
two_questions,2
random_stranger,4
quite_easy,4
explicitly_stated,1
cannot_possibly,0
alot,5
somewhat_similar,1
implicit,1
ever_happened,0
directly_affects,0
hypothesis,2
borders,0
recall_correctly,4
probably_wont,4
fun_fact,5
make_sure,4
sorts_of,1
options_available,4
explicitly_says,1
ambiguity,1
seems_pretty,1
completely_missing,0
fundamental_level,1
slim_chance,4
has_proven,2
pretty_messed,5
completely_understandable,0
an_arbitrary,1
entire,0
opinion_pieces,2
option,4
assumption,2
accurate,2
apparent_reason,0
quite_difficult,3
never_encountered,1
entire_concept,0
almost_completely,0
anyhow,5
specifically_stated,1
theory,2
objective_fact,2
loosely_defined,1
certainly_wouldnt,4
false_assumption,2
invariably,3
will_vary,3
must_accept,3
truly_understand,5
definite,2
pretty_shitty,5
totally_irrelevant,0
definitive_answer,2
arbitrary,1
more_likely,4
arbitrarily_decided,1
going_anywhere,5
not_necessarily,3
two_distinct,1
factually,2
quite_frequently,5
completely_destroyed,0
educated_guess,2
positive_reinforcement,4
almost,5
stating_facts,2
am_assuming,2
doubt,2
fundamentally_flawed,2
ever_increasing,4
clarifying_questions,1
positive_impact,4
positive_effects,4
crystal_clear,1
objectively_true,2
confident,3
ask_questions,2
humanly_possible,0
two_options,4
possible,4
any_particular,3
specific_type,1
positive_change,4
opinion,2
evidently,1
guessed,5
technically_correct,2
practically,0
correctness,2
puzzle,5
viable_option,4
wonder_why,5
arent_supposed,5
fundamentals,1
pretty_hard,5
perfectly_clear,0
better_chance,4
doesnt_seem,1
obscure,1
completely_pointless,0
generally_agreed,3
entirely_subjective,2
whole_lot,5
exact_moment,4
full_potential,4
theres_lots,5
skepticism,2
completely_honest,5
readily_apparent,2
pretty_terrible,5
ever_seen,5
less_likely,4
am_unsure,2
pretty_big,5
distinct_difference,1
incorrect_assumption,2
positive_feedback,4
fundamental,2
guesses,2
zero_chance,4
varies_by,3
pretty_clear,1
does_seem,5
nice_try,0
completely_valid,0
likelihood,4
entirely_accurate,1
rest_assured,0
higher_likelihood,4
never_knew,5
reasonable_doubt,2
virtually_all,3
will_never,0
no_guarantee,4
done_nothing,0
any_favors,3
certain_areas,3
completely_ignorant,0
skeptic,2
directly_correlated,3
extremely_easy,4
some_sort,5
often_used,1
hesitate_to,3
certain_circumstances,3
pretty_low,4
inevitably,3
extremely_powerful,4
virtually,4
perfectly_safe,0
null_hypothesis,2
lot_of,5
directly,0
obvious,1
seemed,1
cast_doubt,2
quite_literally,0
may,3
anywhere_else,5
lots_of,5
obvious_solution,1
quick_question,1
clearly,1
nearly_half,4
truths,2
completely_dependent,0
guarantee,4
hardly_ever,5
pretty_simple,1
total_number,4
never_saw,5
completely_arbitrary,1
equally_likely,4
specific_group,1
loaded_question,2
hypothetical,4
pretty_damn,5
pretty_soon,5
approximation,2
extremely_common,4
nowhere_near,0
extremely,4
precision,1
completely_justified,0
totally_separate,1
ever_lived,5
question_becomes,2
entirely,0
everywhere_else,5
total_lack,0
isnt_necessarily,3
positives,4
actively_try,5
totally_valid,1
truthful,2
last_forever,4
correcting,2
never_been,5
fundamentally_disagree,1
absolutely_nothing,0
question,2
necessary_evil,3
nearly_all,4
positive_effect,4
depends_upon,3
factual_information,2
an_explicit,1
option_available,4
necessary,3
factual_evidence,2
positive_results,4
fairly_quickly,4
trivially_true,2
seemed_like,5
assure,0
wonder_how,5
absolutely_essential,0
nearly_impossible,4
especially_considering,4
specific_case,1
approximate,2
quite_common,3
potential,4
question_remains,1
specifically,1
go_anywhere,5
certain_threshold,3
necessarily,3
virtually_every,0
could_possibly,0
isnt_feasible,4
pretty_awful,5
unlikely,4
almost_nothing,0
completely_ignores,0
completely_unrelated,0
would_depend,3
rarely_ever,5
never_understood,5
certainly,3
clear_distinction,1
small_chance,4
pretty,5
nearly_identical,1
an_essential,1
an_implicit,1
entire_group,0
extremely_low,4
absolutely_terrible,0
varies_depending,3
seems_weird,1
perfectly_ok,0
vague,1
actively_trying,1
provide_proof,2
public_opinion,2
never_cared,5
perfect,0
true_believers,2
third_option,4
some_kind,5
pretty_quick,5
entirely_new,1
never_heard,5
factually_true,2
kinda,5
supposedly,0
always_assumed,5
self_evident,2
positive_outcome,4
exactly_zero,0
wondering_how,5
grammatically_correct,2
never_played,5
pretty_fucking,5
confused_about,1
arbitrarily,1
sorts,3
perfectly_rational,2
completely_separate,0
skeptical,2
never_once,0
original_question,2
accurate_information,2
nothing_stopping,0
completely_unaware,0
appears,1
hypothetical_situations,4
come_off,5
became,5
really_hard,5
imagined,5
whole_story,5
conclusively,2
havent_tried,5
vantage_point,1
cant_expect,0
reputable_sources,2
figure_out,1
answering,2
felt_like,5
could,4
subjective_opinions,2
perceived_as,3
side_effects,4
average_person,4
havent_gone,5
study_found,4
already_answered,2
tricky,3
really_interesting,5
empirical_evidence,2
leads_to,3
physical_evidence,2
outcome,4
ripped_apart,0
noticed,5
havent_met,5
pay_attention,5
went_back,5
compelling_evidence,2
cant_imagine,5
critical_thinking,2
havent_heard,5
say_hi,5
conclusive,2
say_oh,5
making_mistakes,0
act_rationally,2
attention,5
few_exceptions,3
remember,5
look,5
foregone_conclusion,4
opinions,2
learnt,5
arent_interested,1
short_answer,2
making_jokes,5
reliable_source,2
curse_words,3
split,4
answers,2
evidence_showing,2
separate_category,1
will_admit,5
appreciated,5
drawing_conclusions,2
couldnt_tell,5
cant_find,5
coming_back,5
despite,2
cutoff_point,1
made_fun,5
personally_prefer,5
funnily_enough,5
sufficient_evidence,2
case_basis,3
hard_enough,5
special_effects,5
prefers,3
counter_intuitive,1
picks_up,5
find_attractive,3
realizing,5
different_degrees,3
different_amounts,3
prefer,3
differing_opinions,2
feeling_guilty,5
simple_google,2
really,5
see,5
problem_solving,3
proper_context,1
permanent_solution,4
havent_experienced,5
emotional_responses,3
only_reason,0
casual_conversation,1
start_thinking,5
theres_tons,5
good_points,5
complex_than,3
provide_evidence,2
feeling,5
unrealistic_expectations,5
different_from,1
choosing_between,4
name_recognition,4
look_into,5
distinguishing,1
hasnt_happened,4
remember_seeing,5
own_conclusions,2
news_source,2
insightful,5
learning_how,5
negative_effects,4
own_opinions,2
doesnt_change,2
considering,4
exceptions,3
peoples_opinions,2
false_information,2
please_define,1
really_liked,5
multiple_sources,2
havent_been,5
close_enough,4
motivates,3
basically_impossible,4
lesson,5
feels_like,5
stupid_shit,5
learn_about,5
personal_experience,5
cannot_control,3
can_relate,5
react,3
shouldve_been,1
stop_believing,2
expected_value,4
please_answer,2
score_points,1
broad_definition,1
great_points,5
bigger_issue,5
havent_noticed,5
come_across,5
sole_reason,0
reasons,3
learn,5
society_expects,3
various_reasons,3
imagination,5
near_impossible,4
havent_gotten,5
except,0
considered,3
thinking_critically,2
evidence_supporting,2
respective,3
cant_remember,5
powerful_enough,0
apart,0
inspiring,5
didnt_realise,5
thought_patterns,3
nor_did,0
huge_problem,5
react_differently,3
touchy_subject,5
complications,4
contributing_factor,3
dont_see,1
strong_desire,3
wished,5
decided,0
evidence,2
werent_allowed,0
conclusive_evidence,2
feels,5
regular_basis,5
motivation,3
tricks,5
also_includes,3
personal_anecdote,5
grasp,1
rare_exceptions,3
strong_emotional,3
highly_motivated,4
best_explanation,2
realized,5
permit,3
different_concepts,1
hasnt_gotten,5
felt,5
expectations,3
news_sources,2
enough_evidence,2
triggers,3
pick,4
net_effect,4
really_matter,2
answer,2
for_example,3
effective_ways,4
dont_wanna,5
hadnt_thought,5
really_enjoyed,5
provide_sources,2
thinking,5
hasnt_been,2
biggest_factor,4
seriously_consider,4
win,4
extraordinary_claims,2
reactions,3
wasnt_until,5
negative_outcome,4
different_opinions,2
concrete_evidence,2
for_clarifying,1
remembered,5
literally,0
sole_purpose,0
easy_solution,4
lessons,5
new_information,2
taken_seriously,2
overwhelming_evidence,2
learn_how,5
looking_back,5
very_informative,5
gotta_say,5
controlled_environment,4
look_back,5
although,3
evidence_presented,2
dont_recall,5
picked_up,5
very_odd,1
distracted_by,5
without_sounding,5
paid_attention,5
really_cares,5
picked,4
high_enough,4
really_appreciate,5
personal_responsibility,0
sought_out,3
answered,2
drastically_change,4
be_expected,3
past_mistakes,5
thinking_about,5
didnt_notice,5
simple_answer,2
havent_answered,2
enlightening,5
remember_reading,5
beyond_reasonable,2
figuring,5
cant_relate,5
meaningful_difference,1
different_strokes,5
started_using,5
reacts,3
sticking_point,1
new_perspective,5
wanna,5
havent_played,5
tipping_point,4
really_matters,0
really_care,5
wanting_to,0
didnt_know,5
figuring_out,5
permitted,3
sources,2
learned,5
read_books,5
however,3
led,0
remembering,5
insufficient_evidence,2
fortunate_enough,5
grasp_on,1
reacting,1
ends_justify,3
didnt_realize,5
personal_opinions,2
underlying_causes,3
believed,2
figured,5
deeper_meaning,5
thought,5
leads,2
cite_sources,2
appreciate,5
emotional,3
aint_gonna,5
solid_evidence,2
big_problem,5
without_risking,4
didnt_answer,2
creativity,3
credible_sources,2
inherently_wrong,0
false_statements,2
adjusted_for,4
hasnt_worked,5
negative_effect,4
