Id,modularity_class
sincerely_doubt,5
pretty_shitty,5
purely_anecdotal,5
pretty_silly,5
perfectly_normal,5
guessed,5
fairly_recently,5
extremely_valuable,5
becomes_clear,5
any_favors,5
seriously_doubt,5
never_bothered,5
wondered,5
isnt_feasible,5
accurately_represent,5
pretty_awful,5
totally_normal,5
hardly_call,5
completely_destroyed,5
nowhere_close,5
totally_fair,5
questioning_whether,5
pretty_awesome,5
total_bullshit,5
never_played,5
sincerely_hope,5
totally_cool,5
positive_reinforcement,5
ever_played,5
extremely_effective,5
quite_frequently,5
pretty_useless,5
almost_invariably,5
virtually_nothing,5
almost_guarantee,5
ever_watched,5
wondered_why,5
lot_more,5
always_seemed,5
perfectly_honest,5
extremely_powerful,5
completely_unreasonable,5
absolutely_insane,5
fairly_recent,5
never_occurred,5
completely_understandable,5
ever_experienced,5
never_encountered,5
gone_forever,5
complete_nonsense,5
opinion,2
accurate,2
assumed,2
appear,2
absolute,2
definitive,2
fact,2
correction,2
questions,2
facts,2
theory,2
correct,2
proven,2
correctly,2
question,2
accuracy,2
accurately_predict,2
doubt,2
assuming,2
ask_questions,2
loaded_question,2
assume,2
truths,2
assumption,2
truth,2
two_questions,2
answer_questions,2
accurately,2
without_any,2
appears,2
supposedly,2
an_absolute,2
more_accurate,2
public_opinion,2
entire_field,2
doubts_about,2
prove,2
factual_basis,2
any_attempt,2
any_evidence,2
factually,2
proven_wrong,2
pure,2
assumptions,2
variable,2
variables,2
objective_truth,2
randomness,2
proof,2
isnt_true,2
blatantly_false,2
entirely_convinced,2
purely,2
an_opinion,2
unsure,2
an_accurate,2
exact,2
skepticism,2
an_assumption,2
strong_opinion,2
factual_information,2
cant_possibly,2
factual_statement,2
apparent,2
skeptical,2
assumes,2
factually_wrong,2
factually_incorrect,2
no_proof,2
cant_prove,2
truthful,2
directly_address,2
factual,2
asking_questions,2
complete,2
doubting,2
entirety,2
supposed,2
proving,2
questioning,2
guessing,2
questions_asked,2
proves,2
doubts,2
extremely_biased,2
theoretical,2
uncertain,2
theories,2
fact_check,2
generally_accepted,2
basic_facts,2
factually_inaccurate,2
correct_answer,2
guesses,2
be_corrected,2
correcting,2
been_proven,2
doubtful,2
factual_evidence,2
entirely_unrelated,2
uncertainty,2
am_assuming,2
evident,2
undeniable,2
unknown,2
corrected,2
until_proven,2
pure_logic,2
proved,2
specific_case,2
blatantly,2
purely_based,2
opinion_piece,2
stand_corrected,2
blatant,2
popular_opinion,2
questioned,2
stating_facts,2
dubious,2
undeniably,2
appeared,2
definitive_answer,2
please_correct,2
clearly_shows,2
factually_true,2
opinion_pieces,2
fact_checking,2
any_semblance,2
cannot_prove,2
certainty,2
definitively_say,2
hypotheses,2
possible_explanations,2
false_assumption,2
correctness,2
incomplete,2
specific_details,2
make_assumptions,2
am_confused,2
same_exact,2
hypothesis,2
am_guessing,2
proven_false,2
simple_fact,2
educated_guess,2
assumptions_about,2
blatantly_obvious,2
personal_opinion,2
assumptions_based,2
objectively_true,2
incomplete_information,2
am_skeptical,2
subjective_opinion,2
theoretically_possible,2
very_skeptical,2
purely_subjective,2
provide_proof,2
completely_subjective,2
default_assumption,2
with_certainty,2
definitively,2
prove_beyond,2
reasonable_doubt,2
cast_doubt,2
making_assumptions,2
these_questions,2
precision,2
mere_fact,2
universal_truth,2
actual_facts,2
dissenting_opinion,2
approximate,2
truly_random,2
definitive_proof,2
complete_control,2
accurately_reflect,2
self_evident,2
proven_otherwise,2
argument_assumes,2
an_incomplete,2
entirely_subjective,2
absolute_truth,2
objective_facts,2
answering_questions,2
prove_otherwise,2
educated_guesses,2
objective_fact,2
incorrect_assumption,2
am_unsure,2
objectively_correct,2
null_hypothesis,2
factually_correct,2
accurate_information,2
complete_picture,2
automatically_assume,2
random_sample,2
directly_contradict,2
an_approximation,2
based_purely,2
absolute_certainty,2
clarifying_questions,2
false_assumptions,2
proof_lies,2
extremely_complicated,2
completely_unfounded,2
objective_truths,2
skeptic,2
approximation,2
universally_true,2
many_variables,2
perfect_knowledge,2
might_be,4
probably,4
likely,4
positive,4
guarantee,4
doesnt_seem,4
more_likely,4
extremely,4
betting_on,4
less_likely,4
likelihood,4
probability,4
hypothetically,4
overall,4
possible,4
someday,4
hypothetical,4
potential,4
total,4
chance,4
more_often,4
random,4
options,4
option,4
best_option,4
bet,4
entirely_possible,4
possibility,4
almost_certainly,4
hopefully,4
nearly_half,4
possibly,4
random_person,4
most_likely,4
immediately_obvious,4
potentially,4
two_possibilities,4
better_chance,4
likelihood_of,4
doing_nothing,4
optional,4
hopes,4
an_extremely,4
third_option,4
could_potentially,4
real_possibility,4
good_chance,4
any_given,4
two_options,4
hypotheticals,4
seems_strange,4
unlikely,4
very_unlikely,4
an_option,4
simple_question,4
extremely_rare,4
can_guarantee,4
temporary,4
feasible,4
extremely_dangerous,4
guarantees,4
positive_change,4
randomly,4
positively,4
random_guy,4
seems_unlikely,4
theoretically,4
hold_true,4
actively_trying,4
quite_rare,4
viable_option,4
indefinitely,4
approximately,4
better_option,4
undoubtedly,4
could_theoretically,4
positive_results,4
possibilities,4
betting,4
potential_harm,4
wouldnt_necessarily,4
theres_always,4
guaranteed,4
random_chance,4
hoping,4
total_amount,4
reasonable_assumption,4
higher_chance,4
almost_impossible,4
extremely_unlikely,4
totally_reasonable,4
assured,4
total_number,4
positives,4
slim_chance,4
marginal,4
extremely_small,4
obvious_answer,4
equally_likely,4
highly_unlikely,4
potential_consequences,4
unlikely_event,4
zero_chance,4
extremely_difficult,4
never_happen,4
probable,4
pretty_low,4
seems_obvious,4
perfect_solution,4
only_option,4
pretty_strong,4
an_unknown,4
best_possible,4
potentially_dangerous,4
higher_likelihood,4
positive_impact,4
best_bet,4
almost_half,4
incredibly_unlikely,4
probably_wouldnt,4
extremely_limited,4
probabilities,4
possible_outcome,4
three_options,4
no_guarantee,4
am_confident,4
absolute_terms,4
potential_future,4
quite_easy,4
all_likelihood,4
extremely_low,4
approximately_million,4
fairly_confident,4
random_stranger,4
hypothetical_situation,4
second_chance,4
specifically_target,4
almost_guaranteed,4
positive_effects,4
doesnt_guarantee,4
nonzero_chance,4
options_available,4
high_probability,4
marginally,4
entirely_reasonable,4
necessarily_true,4
high_chance,4
high_likelihood,4
assurance,4
will_undoubtedly,4
practically_impossible,4
followup_question,4
actively_try,4
safe_bet,4
positive_outcome,4
positive_outcomes,4
extremely_high,4
hypothetical_situations,4
hypothetical_future,4
purely_logical,4
probable_cause,4
worst_possible,4
extremely_uncomfortable,4
percent_chance,4
potential_threat,4
statistically_unlikely,4
random_events,4
small_chance,4
greater_chance,4
fairly_low,4
hypothetical_scenario,4
especially_given,4
positive_effect,4
particularly_interested,4
practically_speaking,4
technically_possible,4
certainly_possible,4
randomly_selected,4
positive_feedback,4
option_available,4
false_positive,4
false_positives,4
possible_outcomes,4
marginally_better,4
viable_options,4
seems_unfair,4
becomes_apparent,4
overall_happiness,4
highly_likely,4
only_marginally,4
positive_aspects,4
low_probability,4
higher_probability,4
generally_considered,1
not_sure,1
perhaps,1
exactly,1
precise,1
clearly,1
precisely,1
specific,1
an_entirely,1
an_arbitrary,1
confused,1
trying_to,1
an_obvious,1
entirely,1
seems,1
totally_different,1
seem,1
more_accurately,1
any_meaningful,1
specific_examples,1
specifically,1
seemingly,1
clear,1
obvious,1
confusion,1
specific_example,1
seems_pretty,1
pretty_obvious,1
quite_simple,1
vague,1
vaguely,1
any_number,1
any_particular,1
clarifying_question,1
explicitly,1
pretty_clear,1
specific_group,1
explicit,1
confusing,1
fundamental,1
fundamentally,1
completely_different,1
somewhat,1
distinction,1
doesnt_appear,1
an_implicit,1
very_vague,1
very_specific,1
surely,1
arbitrary,1
distinction_between,1
defined,1
unclear,1
distinct_from,1
confused_about,1
borders,1
distinct,1
fuzzy,1
well_defined,1
implicitly,1
wasnt_clear,1
seems_reasonable,1
definite,1
was_hoping,1
always_existed,1
very_clear,1
ambiguous,1
too_vague,1
fundamental_level,1
arbitrarily,1
essential,1
clearly_stated,1
all_sorts,1
distinctions,1
often_used,1
dont_confuse,1
defined_by,1
entirely_different,1
ambiguity,1
confuse,1
specifically_talking,1
an_explicit,1
obscure,1
an_essential,1
implicit,1
am_trying,1
pretty_straightforward,1
dont_necessarily,1
contingent_on,1
fairly_clear,1
quite_clear,1
explicitly_state,1
absolutely_correct,1
namely,1
defined_as,1
pretty_clearly,1
seems_silly,1
fundamental_disagreement,1
quite_clearly,1
explicitly_said,1
specific_type,1
quite_often,1
very_clearly,1
fairly_well,1
two_distinct,1
confused_by,1
appearing,1
nothing_special,1
confuses,1
entirely_accurate,1
fundamentally_disagree,1
fairly_obvious,1
pretty_simple,1
knows_exactly,1
explicitly_stated,1
specific_set,1
wholly,1
question_remains,1
distinctly,1
specifically_referring,1
except_perhaps,1
quick_question,1
fundamentally_different,1
crystal_clear,1
nowhere_did,1
precisely_because,1
used_correctly,1
grammatically_correct,1
explicitly_says,1
perfectly_fair,1
specific_subset,1
wasnt_trying,1
wondering_if,1
sorts_of,1
completely_separate,1
distinctions_between,1
specific_instances,1
generally_understood,1
clear_cut,1
puzzle,1
original_question,1
perfectly_legitimate,1
arbitrary_lines,1
specifically_targeting,1
completely_disregard,1
contingent_upon,1
nearly_identical,1
fundamental_difference,1
exact_moment,1
fundamental_aspect,1
specifically_targeted,1
clear_distinction,1
entirely_irrelevant,1
distinctly_different,1
explicitly_states,1
precisely_why,1
particularly_care,1
blurry,1
specific_scenario,1
loosely_defined,1
accurately_describe,1
specific_instance,1
adds_nothing,1
fairly_simple,1
was_unclear,1
typically_associated,1
evidently,1
shaky,1
meaningful_distinction,1
fundamental_part,1
trivially_true,1
fundamentals,1
generally_agreed,1
clearly_defined,1
obvious_example,1
more_precise,1
somewhat_arbitrary,1
blurred,1
specifically_stated,1
completely_arbitrary,1
completely_meaningless,1
entirely_separate,1
pretty_broad,1
distinct_difference,1
important_distinction,1
particularly_useful,1
entirely_new,1
entirely_arbitrary,1
arbitrary_rules,1
arbitrary_line,1
poorly_defined,1
generally_regarded,1
vague_term,1
understand_correctly,1
fundamental_differences,1
extremely_complex,1
